rank,content_item_id,published_date,title,quality_score,final_score,org_boost,quality_model,notable_organisations,all_resolved_organisations,canonical_url,pdf_organisations,organisations,organisation_status
11,5,2026-09-06,Mechanist: AI as a Scientific Instrument for Discovering the Mechanisms of Intelligence,9.1,7.9,0.000,openai/gpt-5.6-sol,,Zhejiang University,https://arxiv.org/abs/2608.12036,,Zhejiang University,database_resolved
12,106054,2026-09-12,The Intruder Threshold: A Spectral Law for LoRA Fine-Tuning,9.0,8.9,0.113,openai/gpt-5.6-sol,,Technical University of Munich,https://arxiv.org/abs/2607.23711,,Technical University of Munich,database_resolved
13,188266,2026-09-10,Atlas: Efficient Verifiable Semantic Search,9.0,8.7,0.096,openai/gpt-5.6-sol,,Belfort Labs (Belgium),https://arxiv.org/abs/2609.11841,,Belfort Labs (Belgium),database_resolved
14,191305,2026-09-11,An ab initio foundation model of wavefunctions that accurately describes chemical bond breaking,9.0,8.7,0.270,openai/gpt-5.6-sol,Microsoft,Microsoft,https://arxiv.org/abs/2506.19960,,Microsoft,database_resolved
15,100541,2026-09-02,"Gauge dependence and structured-output corruption in sign-branched repetition penalties: measurements across models, inference stacks, and alternative repetition controls",9.0,8.6,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2607.09791,,Not disclosed / unresolved,not_disclosed_or_unresolved
16,191887,2026-09-11,Dual-guided Hierarchical Edge Localization for Large-scale Optimal Transport Across Dimensions,9.0,8.6,0.000,openai/gpt-5.6-sol,,Shanghai Jiao Tong University,https://arxiv.org/abs/2609.13010,,Shanghai Jiao Tong University,database_resolved
17,69660,2026-09-02,Towards Solving the Gilbert-Pollak Conjecture via Large Language Models,9.0,8.3,0.191,openai/gpt-5.6-sol,Carnegie Mellon University,Carnegie Mellon University; Peking University,https://arxiv.org/abs/2601.22365,,Carnegie Mellon University; Peking University,database_resolved
18,186960,2026-09-09,HBFSim: Fast and Faithful Simulation of High-Bandwidth Flash Under Real GPU Execution,9.0,8.1,0.096,openai/gpt-5.6-sol,,"ShanghaiTech University; University of California, Santa Cruz; University of Connecticut",https://arxiv.org/abs/2609.09800,,"ShanghaiTech University; University of California, Santa Cruz; University of Connecticut",database_resolved
19,184890,2026-09-07,MOLE: Detecting Insider Threats in AI Agents,8.9,8.9,0.191,openai/gpt-5.6-sol,Carnegie Mellon University,Carnegie Mellon University,https://arxiv.org/abs/2609.06966,,Carnegie Mellon University,database_resolved
20,184994,2026-09-07,"The Oversight Gap: What LLM Safety Monitors Miss, and Why It Is Not Capability",8.9,8.9,0.225,openai/gpt-5.6-sol,Carnegie Mellon University,Carnegie Mellon University,https://arxiv.org/abs/2609.07162,,Carnegie Mellon University,database_resolved
21,192435,2026-09-12,TyPatch: Transforming Patches into Typestate Rules for Kernel Bug Detection,8.9,8.9,0.270,openai/gpt-5.6-sol,Tsinghua University,Tsinghua University; University of Hong Kong,https://arxiv.org/abs/2609.13728,,Tsinghua University; University of Hong Kong,database_resolved
22,184872,2026-09-07,The Geometry of Refusal: Why Post-Hoc Safety Is Fragile and Pretraining-Time Safety Persists,8.9,8.8,0.135,openai/gpt-5.6-sol,,Samsung Electronics (South Korea),https://arxiv.org/abs/2609.06934,,Samsung Electronics (South Korea),database_resolved
23,42672,2026-09-15,Alignment Whack-a-Mole : Finetuning Activates Verbatim Recall of Copyrighted Books in Large Language Models,8.9,8.7,0.135,openai/gpt-5.6-sol,Carnegie Mellon University,Carnegie Mellon University; Columbia University,https://arxiv.org/abs/2603.20957,,Carnegie Mellon University; Columbia University,database_resolved
24,138187,2026-09-03,MINERVA: How Small Can a Manipulation Policy Be and Still Solve LIBERO?,8.9,8.7,0.096,openai/gpt-5.6-sol,,The University of Tokyo; École Supérieure d'Ingénieurs en Génie Électrique,https://arxiv.org/abs/2609.03715,,The University of Tokyo; École Supérieure d'Ingénieurs en Génie Électrique,database_resolved
25,191681,2026-09-11,RelateAnything: Real-Time Open-Vocabulary Relation Prediction From Any Inputs,8.9,8.7,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.12552,Independent Researcher,Independent Researcher,paper_pdf
26,195035,2026-09-15,Nameless Tokenization: A Lossless Tokenizer-Level Defense Against Control-Token Forgery in Open-Weight LLMs,8.9,8.7,0.096,openai/gpt-5.6-sol,,Korea University,https://arxiv.org/abs/2609.16984,,Korea University,database_resolved
27,40589,2026-09-12,"MARCUS: An agentic, multimodal vision-language model for cardiac diagnosis and management",8.9,8.6,0.191,openai/gpt-5.6-sol,Stanford University,Stanford University,https://arxiv.org/abs/2603.22179,,Stanford University,database_resolved
28,136102,2026-09-01,Autonomous discovery of new structure-plausibility laws for explainable and rapid crystal diagnosis and screening,8.9,8.6,0.096,openai/gpt-5.6-sol,,Hong Kong University of Science and Technology,https://arxiv.org/abs/2609.01209,,Hong Kong University of Science and Technology,database_resolved
29,136284,2026-09-01,Facet-0: A Robotic Foundation Model for Contact-Rich Precise Manipulation,8.9,8.5,0.135,openai/gpt-5.6-sol,,Nanyang Technological University,https://arxiv.org/abs/2609.01596,,Nanyang Technological University,database_resolved
30,183689,2026-09-04,"What LLM Trading Agents Actually Do in Production: A Six-Month, Population-Scale Record from Two Fleets",8.9,8.5,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.05663,DX Research Group,DX Research Group,paper_pdf
31,192416,2026-09-12,Prefix Sharing Is a Sorting Problem,8.9,8.5,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.13692,,Not disclosed / unresolved,not_disclosed_or_unresolved
32,138330,2026-09-03,Unlocking Lossless Speedups in LLMs via Discrete Diffusion,8.9,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.04010,Cerebras Systems; Cornell Tech; Harvard University; Institute of Foundation Models; University of Illinois Urbana-Champaign,Cerebras Systems; Cornell Tech; Harvard University; Institute of Foundation Models; University of Illinois Urbana-Champaign,paper_pdf
33,185231,2026-09-07,DC-Gen: Post-Training Diffusion Acceleration with Deeply Compressed Latent Space,8.9,8.2,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2509.25180,,Not disclosed / unresolved,not_disclosed_or_unresolved
34,142714,2026-09-03,Extremely Sparse Supervision Incentivizes Reasoning Ability,8.8,8.7,0.270,openai/gpt-5.6-sol,Amazon,Amazon; Duke University,https://arxiv.org/abs/2609.04565,,Amazon; Duke University,database_resolved
35,185148,2026-09-08,KTO: Model Alignment as Prospect Theoretic Optimization,8.8,8.7,0.270,openai/gpt-5.6-sol,Stanford University,Stanford University,https://arxiv.org/abs/2402.01306,,Stanford University,database_resolved
36,186119,2026-09-08,Hyperparameter Scaling Laws Across MoE Sparsity,8.8,8.7,0.000,openai/gpt-5.6-sol,,Ant Group (China),https://arxiv.org/abs/2609.08690,,Ant Group (China),database_resolved
37,188233,2026-09-10,Signing the Transaction but Not the Decision: Whisper Attacks and a Binding Defense for AP2,8.8,8.7,0.135,openai/gpt-5.6-sol,,Ariel University,https://arxiv.org/abs/2609.11757,,Ariel University,database_resolved
38,191527,2026-09-11,The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation,8.8,8.7,0.096,openai/gpt-5.6-sol,,"Birla Institute of Technology and Science, Pilani; National University of Singapore",https://arxiv.org/abs/2609.08901,,"Birla Institute of Technology and Science, Pilani; National University of Singapore",database_resolved
39,193970,2026-09-14,Misleading the Planner through Deceptive Resumes: Registration-Time Injection in Centralized Multi-Agent Systems,8.8,8.7,0.135,openai/gpt-5.6-sol,,Harbin Institute of Technology; National University of Singapore,https://arxiv.org/abs/2609.15516,,Harbin Institute of Technology; National University of Singapore,database_resolved
40,194101,2026-09-14,VC-Attention: Value Smoothing and Softmax Casting for Low-bit Attention,8.8,8.7,0.191,openai/gpt-5.6-sol,"University of California, Berkeley","University of California, Berkeley",https://arxiv.org/abs/2609.15810,,"University of California, Berkeley",database_resolved
41,194708,2026-09-14,Illusion of Depth: Revealing Hidden Stereo Vision Vulnerabilities in Depth Estimation,8.8,8.7,0.096,openai/gpt-5.6-sol,,Keio University; University of Florida,https://arxiv.org/abs/2609.16336,,Keio University; University of Florida,database_resolved
42,196871,2026-09-16,Open ultrasound foundation model for robust segmentation and clinical measurement across heterogeneous settings,8.8,8.7,0.135,openai/gpt-5.6-terra,,Bansomdejchaopraya Rajabhat University; Harvard University,https://arxiv.org/abs/2609.19230,,Bansomdejchaopraya Rajabhat University; Harvard University,database_resolved
43,135993,2026-09-01,TGR: Advancing Industrial Recommendation from Generative-Paradigm Ranking toward Unified Generation and Reasoning,8.8,8.6,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.00986,,Not disclosed / unresolved,not_disclosed_or_unresolved
44,142601,2026-09-09,VLA-Precision: Asymmetric Co-Bootstrapping for Efficient Real-World Online RL of Vision-Language-Action Models,8.8,8.6,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.04355,Beihang University; Hefei SpinX Technology; State Key Laboratory of Precision and Intelligent Chemistry; University of Science and Technology of China; Zhongguancun Academy,Beihang University; Hefei SpinX Technology; State Key Laboratory of Precision and Intelligent Chemistry; University of Science and Technology of China; Zhongguancun Academy,paper_pdf
45,142692,2026-09-15,Repeat-After-Me: Black-Box Adaptive Visual Prompt Injection,8.8,8.6,0.191,openai/gpt-5.6-sol,"University of California, Berkeley","University of California, Berkeley",https://arxiv.org/abs/2609.04533,,"University of California, Berkeley",database_resolved
46,194786,2026-09-15,PipeSwift: Revisiting Pipeline Parallelism for Large-Scale Completion-Oriented Agentic LLM Serving,8.8,8.6,0.191,openai/gpt-5.6-sol,Tsinghua University,Shanghai Jiao Tong University; Tsinghua University,https://arxiv.org/abs/2609.16491,,Shanghai Jiao Tong University; Tsinghua University,database_resolved
47,61901,2026-09-06,"Rethinking RL for LLM Reasoning: It's Sparse Policy Selection, Not Capability Learning",8.8,8.5,0.096,openai/gpt-5.6-sol,,University of Southern California,https://arxiv.org/abs/2605.06241,,University of Southern California,database_resolved
48,93197,2026-09-07,"When Can Conformal Risk Control Certify LLM Outputs? Bounds, Impossibility, and Adaptation for Structured Generation",8.8,8.5,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2606.29054,Independent Researcher,Independent Researcher,paper_pdf
49,137013,2026-09-02,A Power Law in Logarithm's Clothing: On the Scalability of Graph-Based Vector Search,8.8,8.5,0.096,openai/gpt-5.6-sol,,University of Toronto,https://arxiv.org/abs/2609.02143,,University of Toronto,database_resolved
50,184715,2026-09-06,EStream: Fast and Memory-Efficient MoE Prefill through Expert Virtualization on Mobile NPUs,8.8,8.5,0.096,openai/gpt-5.6-sol,,Shanghai Jiao Tong University,https://arxiv.org/abs/2609.06551,,Shanghai Jiao Tong University,database_resolved
51,186465,2026-09-09,Synergistic Vision-Language Reinforcement Enables Scalable On-Demand Analysis across Diverse Clinical Tasks,8.8,8.5,0.096,openai/gpt-5.6-sol,,Hong Kong University of Science and Technology; Sun Yat-sen University,https://arxiv.org/abs/2505.03380,,Hong Kong University of Science and Technology; Sun Yat-sen University,database_resolved
52,187121,2026-09-09,Sound Debloating of Redundant Checks in Zero-Knowledge Machine-Learning Circuits,8.8,8.5,0.096,openai/gpt-5.6-sol,,Hong Kong University of Science and Technology; Shandong University,https://arxiv.org/abs/2609.10149,,Hong Kong University of Science and Technology; Shandong University,database_resolved
53,187629,2026-09-10,"EGGROLL, Unrolled: Understanding and Improving Low-Rank Evolution Strategies at Scale",8.8,8.5,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.10980,,Not disclosed / unresolved,not_disclosed_or_unresolved
54,188066,2026-09-10,"Taming Bitwise Behavior in GPU Kernels with Tensor Core: Black-Box Reconstruction, Compiler Enforcement, and Static Verification",8.8,8.5,0.096,openai/gpt-5.6-sol,Meta,Georgia Institute of Technology; Meta,https://arxiv.org/abs/2609.11356,,Georgia Institute of Technology; Meta,database_resolved
55,193114,2026-09-12,"Confuse the Model, Control the Flow: Understanding and Mitigating Privacy Leakage from LLM Agents with Information Flow Control",8.8,8.5,0.096,openai/gpt-5.6-sol,,"University of California, Santa Cruz",https://arxiv.org/abs/2609.14003,,"University of California, Santa Cruz",database_resolved
56,199238,2026-09-19,Your Mailbox Is Mine: Prompt Injection Attacks Against Real-World LLM Email Agents,8.8,8.5,0.135,openai/gpt-5.6-terra,,Fudan University; Harbin Institute of Technology; Simon Fraser University; Sun Yat-sen University,https://arxiv.org/abs/2507.02699,,Fudan University; Harbin Institute of Technology; Simon Fraser University; Sun Yat-sen University,database_resolved
57,138351,2026-09-03,AI-Assisted Design of a Post-Quantum Cryptographic Accelerator: A Deployed-Silicon Case Study,8.8,8.4,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.04058,EYL Inc.; Lucid Motors,EYL Inc.; Lucid Motors,paper_pdf
58,142877,2026-09-04,Forgetting Without Restarting: Execution-State Unlearning for Stateful LLM Agents,8.8,8.4,0.000,openai/gpt-5.6-sol,,Arizona State University; Shanghai Jiao Tong University,https://arxiv.org/abs/2609.04875,,Arizona State University; Shanghai Jiao Tong University,database_resolved
59,188284,2026-09-10,Biology-in-the-loop: Amortized Adaptive Hit Discovery in CRISPR Screens,8.8,8.4,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.11877,Genentech,Genentech,paper_pdf
60,193217,2026-09-12,Data-free On-policy Distillation,8.8,8.4,0.096,openai/gpt-5.6-sol,,Chinese Academy of Sciences; Institute of Automation; National University of Singapore; University of Chinese Academy of Sciences,https://arxiv.org/abs/2609.14193,,Chinese Academy of Sciences; Institute of Automation; National University of Singapore; University of Chinese Academy of Sciences,database_resolved
61,194836,2026-09-15,A Vision-Language Foundation Model for Precise and Comprehensive Brain Tumor Diagnosis from Preoperative Multimodal Data,8.8,8.4,0.000,openai/gpt-5.6-sol,,Joyce Foundation,https://arxiv.org/abs/2609.16597,,Joyce Foundation,database_resolved
62,88729,2026-09-04,GyroSwin: 5D Surrogates for Gyrokinetic Plasma Turbulence Simulations,8.8,8.3,0.096,openai/gpt-5.6-sol,,Institute for Machine Learning; United Kingdom Atomic Energy Authority,https://arxiv.org/abs/2510.07314,,Institute for Machine Learning; United Kingdom Atomic Energy Authority,database_resolved
63,95008,2026-09-08,MultiSynt/MT: Trillion-Token Multi-Parallel Pre-Training Data Translated Across 36 Languages,8.8,8.3,0.096,openai/gpt-5.6-sol,,Charles University; Instituto,https://arxiv.org/abs/2607.00890,,Charles University; Instituto,database_resolved
64,132953,2026-09-10,Scaling Automatic Research Agents via World Models,8.8,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2608.12564,Amazon; University of Illinois Urbana-Champaign,Amazon; University of Illinois Urbana-Champaign,paper_pdf
65,135932,2026-09-01,MemoryWalker: Stop Training Agents on Contexts They Never Saw,8.8,8.3,0.096,openai/gpt-5.6-sol,,Alibaba Group (China),https://arxiv.org/abs/2609.00865,,Alibaba Group (China),database_resolved
66,138371,2026-09-03,Hardware-Aware FP4 FlashAttention-4,8.8,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.04105,Graphcore Research,Graphcore Research,paper_pdf
67,142587,2026-09-03,Iris: Climbing to the Search Frontier,8.8,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.04304,,Not disclosed / unresolved,not_disclosed_or_unresolved
68,142669,2026-09-03,Hakken: Predicting future discoveries to fill the gaps in today's knowledge,8.8,8.3,0.096,openai/gpt-5.6-sol,,Okinawa Institute of Science and Technology Graduate University; Systems Biology Institute,https://arxiv.org/abs/2609.04494,,Okinawa Institute of Science and Technology Graduate University; Systems Biology Institute,database_resolved
69,184767,2026-09-06,Detokenization Leaks: Reconstructing Local LLM Outputs From Cache Traces,8.8,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.06674,Ben Gurion University; Microsoft Security,Ben Gurion University; Microsoft Security,paper_pdf
70,186203,2026-09-08,AuK Technical Report: An Open-Source Foundational Model for Speech Generation and Editing,8.8,8.3,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.08936,,Not disclosed / unresolved,not_disclosed_or_unresolved
71,193422,2026-09-13,Optimizing Sparse Outcomes Through Dense Behavioral Signals via Value-Guided Preference Distillation,8.8,8.3,0.096,openai/gpt-5.6-sol,,University of Cambridge,https://arxiv.org/abs/2609.14648,,University of Cambridge,database_resolved
72,184426,2026-09-05,Test-Time Weak-to-Strong Alignment: Transferring Implicit Rewards from Weak to Strong Flow Models,8.8,8.2,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.05968,University of New South Wales,University of New South Wales,paper_pdf
73,187666,2026-09-10,"The information geometry of large language models is shared, learned, and controllable",8.8,8.2,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.11063,London Centre for Nanotechnology; University College London,London Centre for Nanotechnology; University College London,paper_pdf
74,195232,2026-09-15,Discrete Beckmann Transport Models for One-Step Language Modeling and Reasoning,8.8,8.2,0.000,openai/gpt-5.6-sol,,Harvard University; University of Pennsylvania,https://arxiv.org/abs/2609.15903,,Harvard University; University of Pennsylvania,database_resolved
75,136120,2026-09-01,"Explore More, Drift Less: Outcome-Only Reinforcement Learning Can Suffice for Long-Horizon Interactive Agents",8.8,8.1,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.01245,,Not disclosed / unresolved,not_disclosed_or_unresolved
76,137287,2026-09-02,CORAL: An LLM-Native Harness for Production Recommender Systems,8.8,8.1,0.000,openai/gpt-5.6-sol,Meta,Meta,https://arxiv.org/abs/2609.02730,,Meta,database_resolved
77,2992,2026-09-15,4DStreamCtrl: Interactive Video Generation with Online 4D Control,8.8,8.0,0.128,openai/gpt-5.6-sol,,Peking University,https://arxiv.org/abs/2608.25479,,Peking University,database_resolved
78,91543,2026-09-08,A-Evolve-Training: Autonomous Post-Training of a 30B Model,8.8,8.0,0.000,openai/gpt-5.6-sol,Amazon,Amazon,https://arxiv.org/abs/2606.20657,,Amazon,database_resolved
79,184919,2026-09-07,Efficient Learning and Symmetry Discovery under Exact Invariances,8.8,8.0,0.135,openai/gpt-5.6-sol,,Harvard University; Technical University of Munich,https://arxiv.org/abs/2609.07031,,Harvard University; Technical University of Munich,database_resolved
80,99006,2026-09-04,Advancing Subseasonal Forecasting with Machine Learning,8.7,8.7,0.191,openai/gpt-5.6-sol,Massachusetts Institute of Technology; Microsoft,Massachusetts Institute of Technology; Microsoft; University of Toronto,https://arxiv.org/abs/2604.16238,,Massachusetts Institute of Technology; Microsoft; University of Toronto,database_resolved
81,191869,2026-09-11,End-to-End Battery Dispatch with Exact Rainflow Degradation via Mixed-Integer Differentiable Predictive Control,8.7,8.7,0.450,openai/gpt-5.6-sol,,Johns Hopkins University,https://arxiv.org/abs/2609.12968,,Johns Hopkins University,database_resolved
82,102642,2026-09-15,Learning Sparse Latent Predictive Foundation Model for Multimodal Neuroimaging,8.7,8.6,0.191,openai/gpt-5.6-sol,Stanford University,New York University; Stanford University,https://arxiv.org/abs/2606.14957,,New York University; Stanford University,database_resolved
83,105913,2026-09-14,X-Stage: Modeling Post-Issue Backpressure in GPU Communication--Computation Fusion,8.7,8.6,0.191,openai/gpt-5.6-sol,NVIDIA; Tsinghua University,NVIDIA; Tsinghua University,https://arxiv.org/abs/2607.23264,,NVIDIA; Tsinghua University,database_resolved
84,138412,2026-09-03,"Clean Engineering, Unstable Measurement: A Preregistered Reliability Failure of Black-Box LLM Observers on Shared Endpoints",8.7,8.6,0.000,openai/gpt-5.6-sol,,University of Sheffield,https://arxiv.org/abs/2609.04198,,University of Sheffield,database_resolved
85,184011,2026-09-05,Forward-only learning in memristor arrays with month-scale stability,8.7,8.6,0.135,openai/gpt-5.6-sol,,Aix-Marseille Université; Université Paris-Saclay,https://arxiv.org/abs/2601.09903,,Aix-Marseille Université; Université Paris-Saclay,database_resolved
86,185674,2026-09-07,Audit Without Verification: When LLM Accountability Layers Relay Rather Than Check,8.7,8.6,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2609.07680,Institute For Future Technologies,Institute For Future Technologies,paper_pdf
87,186907,2026-09-09,ALIGN-HOLD: Experience Alignment for Real-Time Hold Control in Large-Scale Ride-Hailing Matching at DiDi,8.7,8.6,0.096,openai/gpt-5.6-sol,,DiDi Chuxing; Shanghai Jiao Tong University,https://arxiv.org/abs/2609.09685,,DiDi Chuxing; Shanghai Jiao Tong University,database_resolved
88,187599,2026-09-10,IMLE-VLA: Fast Single-Step Action Generation for Vision-Language-Action Policies,8.7,8.6,0.096,openai/gpt-5.6-sol,,Simon Fraser University,https://arxiv.org/abs/2609.10915,,Simon Fraser University,database_resolved
89,193157,2026-09-12,Gradient-Free Neural Hamilton-Jacobi Reachability for Scalable Safety-Critical Control,8.7,8.6,0.270,openai/gpt-5.6-sol,Stanford University,Stanford University,https://arxiv.org/abs/2609.14087,,Stanford University,database_resolved
90,193186,2026-09-12,Exact Finite Attention Responses From RoPE Derivatives,8.7,8.6,0.096,openai/gpt-5.6-sol,,University of London; University of Oxford,https://arxiv.org/abs/2609.14127,,University of London; University of Oxford,database_resolved
91,591,2026-09-01,Debiased Inference for AI-Generated Data without Gold-Standard Labels: Identification via Multiple Imperfect Measurements,8.7,8.5,0.270,openai/gpt-5.6-sol,Massachusetts Institute of Technology,Massachusetts Institute of Technology,https://arxiv.org/abs/2608.18294,,Massachusetts Institute of Technology,database_resolved
92,118559,2026-09-07,Teaching agentic AI to generalize expert diagnostic reasoning in rare diseases,8.7,8.5,0.096,openai/gpt-5.6-sol,,University of South Florida,https://arxiv.org/abs/2606.16149,,University of South Florida,database_resolved
93,135579,2026-09-01,ByteX: A Unified AI Search Engine at ByteDance,8.7,8.5,0.000,openai/gpt-5.6-sol,,,https://arxiv.org/abs/2608.30607,ByteDance,ByteDance,paper_pdf
94,183976,2026-09-06,Resolving sources of uncertainty in AI weather forecasting,8.7,8.5,0.191,openai/gpt-5.6-sol,Tsinghua University,Hefei University of Technology; Tsinghua University,https://arxiv.org/abs/2511.14218,,Hefei University of Technology; Tsinghua University,database_resolved
95,188249,2026-09-10,Dynamic language model representations for multi-objective reaction optimisation,8.7,8.5,0.096,openai/gpt-5.6-sol,,Nanyang Technological University,https://arxiv.org/abs/2609.11790,,Nanyang Technological University,database_resolved
96,54681,2026-09-12,Measuring and Exploiting Contextual Bias in LLM-Assisted Security Code Review,8.7,8.4,0.096,openai/gpt-5.6-sol,,National and Kapodistrian University of Athens,https://arxiv.org/abs/2603.18740,,National and Kapodistrian University of Athens,database_resolved
97,122365,2026-09-02,Scalable Self-Supervised Learning for Multiphase AC-OPF in Distribution Systems with Topology Reconfiguration,8.7,8.4,0.191,openai/gpt-5.6-sol,Massachusetts Institute of Technology,Massachusetts Institute of Technology,https://arxiv.org/abs/2608.25095,,Massachusetts Institute of Technology,database_resolved
98,136101,2026-09-01,"Towards AI-Assisted Clinical Trial Matching: Practical Considerations, Multicenter Evaluation, and Real-World Deployment",8.7,8.4,0.096,openai/gpt-5.6-sol,,University of Illinois Urbana-Champaign; University of Manchester; University of Pittsburgh; UPMC Hillman Cancer Center,https://arxiv.org/abs/2609.01202,,University of Illinois Urbana-Champaign; University of Manchester; University of Pittsburgh; UPMC Hillman Cancer Center,database_resolved
99,136138,2026-09-01,HiLRP: Toward One Trustworthy Explanation for Vision Transformer: Conservation-Valid Attribution via Attention Primitives,8.7,8.4,0.096,openai/gpt-5.6-sol,,RMIT University,https://arxiv.org/abs/2609.01282,,RMIT University,database_resolved
