arxiv_id,title,published_at,domain,subdomains,audiences,application_domains,final_score,quality_score,our_rank,sample_rank,hf_featured,hf_featured_date,hf_upvotes,hf_daily_upvote_rank,notable_organisation,notable_person,why_high,why_lower
2609.06934,The Geometry of Refusal: Why Post-Hoc Safety Is Fragile and Pretraining-Time Safety Persists,2026-09-07,alignment_safety,"[""jailbreak_robustness"", ""preference_alignment""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.8,8.9,11,11,False,,,,,,"final_score=8.8; quality=8.9; org_boost=0.135; audiences=practitioner,technical_leadership; domain=alignment_safety",
2506.19960,An ab initio foundation model of wavefunctions that accurately describes chemical bond breaking,2026-09-11,theory_foundations,"[""representation_learning""]","[""practitioner""]","[""scientific_research""]",8.7,9.0,12,12,False,,,,Microsoft,,final_score=8.7; quality=9.0; org_boost=0.270; notable_org=Microsoft; audiences=practitioner; domain=theory_foundations,
2609.11841,Atlas: Efficient Verifiable Semantic Search,2026-09-10,systems_infrastructure,[],"[""practitioner"", ""technical_leadership""]","[""cybersecurity""]",8.7,9.0,13,13,False,,,,,,"final_score=8.7; quality=9.0; org_boost=0.096; audiences=practitioner,technical_leadership; domain=systems_infrastructure",
2603.20957,Alignment Whack-a-Mole : Finetuning Activates Verbatim Recall of Copyrighted Books in Large Language Models,2026-09-15,alignment_safety,"[""jailbreak_robustness"", ""content_safety""]","[""practitioner"", ""technical_leadership""]","[""legal_compliance""]",8.7,8.9,14,14,False,,,,Carnegie Mellon University,,"final_score=8.7; quality=8.9; org_boost=0.135; notable_org=Carnegie Mellon University; audiences=practitioner,technical_leadership; domain=alignment_safety",
2609.03715,MINERVA: How Small Can a Manipulation Policy Be and Still Solve LIBERO?,2026-09-03,robotics_embodied,"[""manipulation""]","[""practitioner"", ""technical_leadership""]","[""autonomous_systems""]",8.7,8.9,15,15,False,,,,,,"final_score=8.7; quality=8.9; org_boost=0.096; audiences=practitioner,technical_leadership; domain=robotics_embodied",
2609.16984,Nameless Tokenization: A Lossless Tokenizer-Level Defense Against Control-Token Forgery in Open-Weight LLMs,2026-09-15,natural_language_processing,"[""language_modeling""]","[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""cybersecurity""]",8.7,8.9,16,16,False,,,,,,"final_score=8.7; quality=8.9; org_boost=0.096; audiences=practitioner,technical_leadership,enterprise_adoption; domain=natural_language_processing",
2402.01306,KTO: Model Alignment as Prospect Theoretic Optimization,2026-09-08,alignment_safety,"[""preference_alignment""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.7,8.8,17,17,False,,,,Stanford University,,"final_score=8.7; quality=8.8; org_boost=0.270; notable_org=Stanford University; audiences=practitioner,technical_leadership; domain=alignment_safety",
2609.04565,Extremely Sparse Supervision Incentivizes Reasoning Ability,2026-09-03,natural_language_processing,"[""language_modeling""]","[""practitioner""]","[""general_method""]",8.7,8.8,18,18,False,,,,Amazon,,final_score=8.7; quality=8.8; org_boost=0.270; notable_org=Amazon; audiences=practitioner; domain=natural_language_processing,
2609.08690,Hyperparameter Scaling Laws Across MoE Sparsity,2026-09-08,theory_foundations,"[""optimization""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.7,8.8,19,19,False,,,,,,"final_score=8.7; quality=8.8; audiences=practitioner,technical_leadership; domain=theory_foundations",
2609.08901,The BatchNorm Illusion: Diagnosing Normalization Artifacts in Machine Unlearning Evaluation,2026-09-11,evaluation_benchmarking,"[""eval_methodology""]","[""practitioner"", ""technical_leadership""]","[""general_method""]",8.7,8.8,20,20,False,,,,,,"final_score=8.7; quality=8.8; org_boost=0.096; audiences=practitioner,technical_leadership; domain=evaluation_benchmarking",
