paper_id,arxiv_id,arxiv_url,title,published_at,terra_composite,jev_composite,terra_rank,jev_rank,rank_gap,terra_technical_significance,terra_apparent_novelty,terra_practical_applicability,terra_professional_value,terra_learning_value,terra_evidence_strength,jev_technical_significance,jev_apparent_novelty,jev_practical_applicability,jev_professional_value,jev_learning_value,jev_evidence_strength,jev_confidence,organisations,is_golden,was_editorial_pick
197797,2609.20713,https://arxiv.org/abs/2609.20713,A Unified Framework for Wasserstein Convergence of ULMC Methods beyond Log-Concavity: Old and New,2026-09-17 00:00:00+00:00,8.1,5.8647,111,752,-641,8.5,8.0,7.5,8.0,8.5,7.0,8.0,7.0,6.0,4.0,8.5,5.5,0.67,Central South University,False,none
197861,2601.21583,https://arxiv.org/abs/2601.21583,CORDS: Continuous Representations of Discrete Structures,2026-09-17 00:00:00+00:00,8.1,5.882,113,743,-630,8.5,8.0,7.5,8.0,8.5,6.5,7.5,7.0,6.0,6.5,7.5,5.0,0.735,Tübingen AI Center; University of Amsterdam,False,none
199150,2609.22724,https://arxiv.org/abs/2609.22724,MATE: Policy-Aware Security Auditing for Mobile Agents via Synthesis-Driven Trajectory Learning,2026-09-19 00:00:00+00:00,7.16,6.9706,782,161,621,7.0,6.5,8.0,7.5,7.0,6.5,8.0,7.0,7.5,8.0,8.0,7.0,0.8066666666666666,Fudan University,False,none
199159,2609.22747,https://arxiv.org/abs/2609.22747,Beyond Raw Engagement: A Counterfactual Observability Framework for Recommender Systems at Netflix,2026-09-19 00:00:00+00:00,8.16,5.9566,83,703,-620,8.0,7.5,9.0,8.5,8.0,5.5,7.0,6.5,8.5,8.5,8.0,3.0,0.71,,False,none
199316,2602.01654,https://arxiv.org/abs/2602.01654,Steering Vector Fields for Context-Aware Inference-Time Control in Large Language Models,2026-09-19 00:00:00+00:00,8.0,5.7638,186,806,-620,8.0,8.0,8.0,8.0,8.0,6.0,7.5,7.0,6.5,7.0,8.0,3.5,0.705,Brown University; Texas A&M University,False,none
197224,2609.19483,https://arxiv.org/abs/2609.19483,SCOUT: Sim-to-Real Text-Based Person Retrieval by Embedding-Space Prediction over Frozen Video Features,2026-09-16 00:00:00+00:00,6.78,6.643,918,302,616,6.5,7.0,7.0,6.5,7.0,6.5,7.5,6.5,7.0,8.0,8.0,7.0,0.7999999999999999,Université de Moncton,False,none
199461,2609.19499,https://arxiv.org/abs/2609.19499,Sample Count Is Not Enough: Candidate-Generation Strategy Shapes the Energy and Performance of LLM Test-Time Scaling,2026-09-19 00:00:00+00:00,6.78,6.6415,920,306,614,6.5,5.5,8.0,7.5,7.0,8.0,6.5,6.0,8.0,8.5,8.0,7.5,0.805,Iowa State University,False,none
198364,2609.21377,https://arxiv.org/abs/2609.21377,AVT-Fabric: Active Visuo-Tactile Perception via Adaptive Evidence Selection for Efficient Robotic Fabric Comparison,2026-09-18 00:00:00+00:00,7.16,6.956,778,168,610,7.0,6.5,8.0,7.5,7.0,7.5,7.5,7.0,7.5,8.0,8.0,7.5,0.835,Bansomdejchaopraya Rajabhat University; University of York,False,none
195905,2509.21891,https://arxiv.org/abs/2509.21891,"AgentPack: A Dataset of Code Changes, Co-Authored by Agents and Humans",2026-09-16 00:00:00+00:00,8.1,5.933,107,716,-609,8.0,7.5,9.0,8.5,7.5,7.5,7.0,7.0,7.0,6.5,7.5,5.0,0.7116666666666667,Anthropic; Northeastern University,False,none
197732,2609.20540,https://arxiv.org/abs/2609.20540,Integrated Guidance and Control of a Mother-Child UAV-UGV System for Cooperative Missions,2026-09-17 00:00:00+00:00,7.3,7.178,689,89,600,7.5,6.5,8.0,7.5,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.5,0.8016666666666667,,False,none
199734,2609.23219,https://arxiv.org/abs/2609.23219,Causal Inference with Unobserved Confounding: A Mixture Learning Perspective,2026-09-19 00:00:00+00:00,7.68,4.2194,396,996,-600,8.0,7.0,7.0,8.0,9.0,6.0,6.5,6.5,4.0,4.0,8.0,1.0,0.635,Massachusetts Institute of Technology,False,none
200448,2609.24362,https://arxiv.org/abs/2609.24362,VLM-in-Sandbox: Visual Workspaces for Agentic Visual Reasoning,2026-09-21 00:00:00+00:00,7.28,7.0688,718,118,600,7.0,7.0,8.0,7.5,7.0,7.5,7.5,7.0,7.5,8.0,8.0,8.0,0.83,,False,none
198051,2505.04193,https://arxiv.org/abs/2505.04193,Trajectory Entropy Reinforcement Learning for Robust Robot Motor Skill Learning,2026-09-18 00:00:00+00:00,7.82,5.5277,272,871,-599,8.0,8.0,7.5,7.5,8.0,7.0,7.0,7.0,6.0,5.5,7.5,4.5,0.6883333333333334,Beijing University of Posts and Telecommunications; Tsinghua University; Wuhan University of Technology,False,none
191803,2609.12815,https://arxiv.org/abs/2609.12815,4D Parallelism Unlocks Exascale Bayesian Neural Networks for High-Fidelity Atmospheric Modeling,2026-09-11 00:00:00+00:00,8.22,6.052,57,649,-592,8.5,8.0,8.0,8.5,8.0,7.0,8.0,7.5,5.0,7.0,8.0,5.0,0.5316666666666667,CSC - IT Center for Science (Finland); Forschungszentrum Jülich; Karlsruhe Institute of Technology,True,none
198650,2609.21967,https://arxiv.org/abs/2609.21967,NemotronLabs VoiceChat: An Open Full-duplex Speech-to-Speech Model with Tool Calling Capabilities,2026-09-18 00:00:00+00:00,7.16,6.916,781,190,591,7.0,6.5,8.0,7.5,7.0,7.0,8.0,7.0,7.5,8.0,7.5,7.0,0.7766666666666666,,False,none
198761,2604.15555,https://arxiv.org/abs/2604.15555,CXR-LT 2026 Challenge: Multi-Center Long-Tailed and Zero Shot Chest X-ray Classification,2026-09-19 00:00:00+00:00,7.82,5.593,277,858,-581,8.0,6.5,8.5,8.5,8.0,7.5,6.5,6.0,6.5,7.0,7.5,5.0,0.71,Carnegie Mellon University; Case Western Reserve University; Chinese Academy of Medical Sciences & Peking Union Medical College; Cornell Tech; Cornell University; Gwangju Institute of Science and Technology; Hong Kong University of Science and Technology; Korea Advanced Institute of Science and Technology; Sichuan University; VinUniversity; Weill Cornell Medicine; Xiamen University,False,none
200382,2609.18842,https://arxiv.org/abs/2609.18842,Infinite-Parameter LLMs: Generating and Adapting Weights from Live Data,2026-09-21 00:00:00+00:00,7.66,4.3329,414,994,-580,8.0,8.5,6.5,7.0,8.0,3.0,6.5,7.0,3.5,6.0,7.5,0.5,0.66,University of Cambridge,False,none
200009,2609.23816,https://arxiv.org/abs/2609.23816,SPLASH: Co-Designing Sparse Attention with High-Bandwidth Flash for Efficient Long-Context Inference,2026-09-20 00:00:00+00:00,8.08,5.95,133,711,-578,8.5,8.0,8.0,8.0,7.5,7.5,8.0,7.5,4.0,7.5,8.0,5.0,0.6433333333333333,National University of Singapore,False,none
198597,2609.21858,https://arxiv.org/abs/2609.21858,Watermarkable Multi-Draft Speculative Sampling via Poisson Processes,2026-09-18 00:00:00+00:00,8.12,6.0053,100,675,-575,8.0,8.5,8.0,8.0,8.0,7.5,8.0,8.0,6.5,6.5,8.0,3.5,0.6533333333333333,University of Washington,False,none
200197,2609.24161,https://arxiv.org/abs/2609.24161,MCP-GRANITE Benchmark: GRANularity Interface TEsting for MCP-Based LLM Agents,2026-09-21 00:00:00+00:00,7.34,7.144,662,96,566,7.0,6.5,8.5,8.0,7.0,8.0,7.5,7.0,7.5,8.5,8.0,8.0,0.8166666666666667,University of Cyprus,False,none
200106,2609.23990,https://arxiv.org/abs/2609.23990,MGRD: Compact morphology-gated residual diffusion for variance-aware cross-domain neurite forecasting,2026-09-21 00:00:00+00:00,7.24,6.956,735,171,564,7.5,7.0,7.5,7.0,7.0,7.5,8.0,7.0,7.5,7.5,7.5,7.5,0.77,Carnegie Mellon University,False,none
191305,2506.19960,https://arxiv.org/abs/2506.19960,An ab initio foundation model of wavefunctions that accurately describes chemical bond breaking,2026-09-11 00:00:00+00:00,8.48,6.154,26,587,-561,9.0,8.5,8.0,8.5,8.0,7.5,8.5,7.5,6.5,5.0,8.0,5.0,0.5666666666666667,Microsoft,True,none
200719,2609.24906,https://arxiv.org/abs/2609.24906,Visuomotor Robotic Pruning in Planar Orchards Using Hybrid Reinforcement Learning,2026-09-21 00:00:00+00:00,7.22,6.919,748,187,561,7.5,7.0,7.0,7.5,7.0,7.0,8.0,7.0,7.0,7.5,8.0,7.5,0.7816666666666666,Oregon State University,False,none
200534,2609.24528,https://arxiv.org/abs/2609.24528,Beyond Point Prediction: Artificial Representative Trees with Uncertainty,2026-09-21 00:00:00+00:00,6.14,6.4195,988,428,560,5.5,5.5,7.0,6.5,7.0,8.0,7.0,6.5,7.0,7.0,7.5,7.5,0.8133333333333334,University of Lübeck,False,none
200402,2609.24274,https://arxiv.org/abs/2609.24274,vla.simd: Efficient CPU Inference for Language-Conditioned Manipulation,2026-09-21 00:00:00+00:00,7.16,6.825,788,232,556,7.0,6.5,8.0,7.5,7.0,7.5,7.5,6.5,8.0,8.0,8.0,7.0,0.8083333333333333,Technische Universität Darmstadt; VinUniversity,False,none
195822,2304.03370,https://arxiv.org/abs/2304.03370,Reliable learning in challenging environments,2026-09-16 00:00:00+00:00,7.72,5.3774,355,909,-554,8.5,7.5,6.5,8.0,8.0,6.5,7.5,6.5,5.0,5.5,7.5,4.5,0.6,Carnegie Mellon University,False,none
197710,2609.20481,https://arxiv.org/abs/2609.20481,greCAPTCHA: Assessing Understanding as Evidence of Research Authorship Under Generative AI,2026-09-17 00:00:00+00:00,7.66,5.0862,404,957,-553,7.5,8.0,7.0,8.0,8.0,6.5,6.0,6.5,4.5,6.0,6.5,5.5,0.7033333333333334,Carnegie Mellon University,False,none
197492,2609.20008,https://arxiv.org/abs/2609.20008,Dynamic Generalized Gromov-Wasserstein Optimal Transport,2026-09-17 00:00:00+00:00,8.04,5.95,155,707,-552,8.5,8.0,7.5,8.0,8.0,6.5,8.0,7.5,6.0,5.0,8.0,5.0,0.695,Peking University; Viện Trí tuệ nhân tạo,False,none
199968,2609.23723,https://arxiv.org/abs/2609.23723,Droop-Aware Foundation Model Power Flow,2026-09-20 00:00:00+00:00,7.2,6.862,760,212,548,7.5,7.0,7.0,7.0,7.5,8.0,8.0,7.0,6.5,7.0,8.0,8.0,0.7383333333333333,,False,none
200510,2609.24480,https://arxiv.org/abs/2609.24480,Fathom-Vaidya: Advancing Medical Reasoning with Rubric-Based Rewards,2026-09-21 00:00:00+00:00,7.72,5.3774,366,911,-545,8.5,6.5,8.0,8.0,7.5,6.0,7.0,5.5,6.0,7.0,7.0,4.5,0.6666666666666666,,False,none
200721,2609.24911,https://arxiv.org/abs/2609.24911,SocioVerse2: A Longitudinal Dynamic Social Simulation Framework under a Human-AI Co-evolutionary Paradigm,2026-09-21 00:00:00+00:00,6.84,6.5472,903,358,545,6.5,6.5,7.5,7.0,7.0,6.5,8.0,7.5,7.0,6.5,8.0,6.0,0.6733333333333333,Bansomdejchaopraya Rajabhat University; Chinese University of Hong Kong; Fudan University; Northwestern Polytechnical University; Singapore Management University; Tongji University; University of Oxford; University of Rochester,False,none
195900,2509.12151,https://arxiv.org/abs/2509.12151,Learning Contact Dynamics through Touching: Action-conditional Graph Neural Networks for Robotic Peg Insertion,2026-09-16 00:00:00+00:00,7.42,7.3884,583,44,539,7.5,7.0,8.0,7.5,7.0,7.0,8.5,7.0,7.5,8.0,8.5,8.0,0.7883333333333333,German Research Centre for Artificial Intelligence; Institute of Computer Science; Osnabrück University,False,none
196329,2609.18110,https://arxiv.org/abs/2609.18110,SSD-LLaMA: SSD-Native Inference for Trillion-Parameter MoE at 1+ Token/s on a Consumer PC,2026-09-16 00:00:00+00:00,8.32,6.1623,42,578,-536,8.5,8.0,8.5,8.5,8.0,7.5,8.0,7.0,6.5,7.5,8.0,4.5,0.6216666666666667,Hong Kong University of Science and Technology; Shenzhen Institutes of Advanced Technology; Southern University of Science and Technology,False,none
196691,2609.18878,https://arxiv.org/abs/2609.18878,Preventing Model Collapse: A Fisher-Rao Perspective on the Dynamics of Training with Synthetic Data,2026-09-16 00:00:00+00:00,7.68,5.313,389,925,-536,8.0,7.5,7.0,8.0,8.0,6.5,7.0,7.0,5.5,6.0,7.5,3.5,0.53,"Queen's University; University of California, Los Angeles",False,none
198076,2510.24233,https://arxiv.org/abs/2510.24233,PRIVET: PRoximIty leakage detection Via Extreme value Theory,2026-09-18 00:00:00+00:00,8.14,6.0955,87,620,-533,8.0,8.0,8.0,8.5,8.5,7.0,7.5,6.5,7.0,8.0,8.0,4.5,0.7633333333333333,,False,none
199812,2609.23385,https://arxiv.org/abs/2609.23385,Leveraging Industrial Foundation Models at the Edge of Particle Physics Detectors via Distillation Learning and Hardware Co-design,2026-09-20 00:00:00+00:00,7.82,5.7316,288,816,-528,8.0,7.5,8.0,8.0,7.5,6.5,7.5,7.5,6.5,6.0,8.0,3.5,0.59,SLAC National Accelerator Laboratory; Stanford University,False,none
200621,2609.24706,https://arxiv.org/abs/2609.24706,"""MeBo Leaves a Piece of You Behind"": Designing a Relational Voice-Based Memory Companion for Older Adults",2026-09-21 00:00:00+00:00,7.06,6.643,833,305,528,6.5,7.0,7.0,7.5,8.0,6.5,7.0,7.0,7.5,7.5,8.0,7.0,0.805,Massachusetts Institute of Technology; MIT Media Lab; Northeastern University; University of Illinois Urbana-Champaign,False,none
197462,2609.19956,https://arxiv.org/abs/2609.19956,Graph-Based Stochastic Power-UCT: Monte-Carlo Graph Search with Power Mean Estimation,2026-09-17 00:00:00+00:00,7.78,5.6144,319,846,-527,8.0,7.5,7.5,8.0,8.0,8.0,7.5,6.5,5.5,4.5,7.5,6.0,0.6983333333333334,Hanoi University of Science and Technology,False,none
196883,2609.19279,https://arxiv.org/abs/2609.19279,Radio-Frequency Convolutional Neural Networks,2026-09-16 00:00:00+00:00,8.56,6.228,18,542,-524,9.0,9.0,7.5,8.5,8.5,7.5,8.5,8.0,4.5,6.5,8.0,5.5,0.5233333333333333,Duke University; Massachusetts Institute of Technology,False,none
197269,2609.19579,https://arxiv.org/abs/2609.19579,Recovering Aggressively Pruned Vision-Language-Action Models with Offline Hidden-State Distillation,2026-09-17 00:00:00+00:00,7.4,7.178,612,88,524,7.5,6.5,8.5,7.5,7.0,8.0,8.0,7.0,8.0,8.0,8.0,7.5,0.8116666666666666,Chung-Ang University,False,none
199663,2609.23084,https://arxiv.org/abs/2609.23084,AirGC-CD: Gaussian-Circulant Precoding for Exactly Debiasable PAPR Reduction in Over-the-Air Federated Learning,2026-09-19 00:00:00+00:00,8.2,6.1576,70,585,-515,8.5,8.0,8.0,8.0,8.5,7.5,8.0,7.5,5.0,5.5,8.0,6.5,0.6666666666666666,Seoul National University,False,none
197037,2602.10711,https://arxiv.org/abs/2602.10711,Cross-Sectional Asset Retrieval via Future-Aligned Soft Contrastive Learning,2026-09-17 00:00:00+00:00,6.84,6.4974,898,385,513,7.0,6.5,7.5,6.5,6.5,6.5,7.0,7.0,7.0,7.5,7.5,7.0,0.7566666666666667,LG AI Research (South Korea); Massachusetts Institute of Technology; Seoul National University of Science and Technology; University of Florida,False,none
199503,2609.22792,https://arxiv.org/abs/2609.22792,SelfOp: An Optimization Algorithm for Self-Improving Security Agents,2026-09-19 00:00:00+00:00,8.14,6.137,90,602,-512,8.5,8.0,8.0,8.0,8.0,7.5,8.0,7.5,5.5,7.0,8.0,5.0,0.6766666666666666,"Boston University; University of California, Santa Barbara",False,none
197293,2609.19628,https://arxiv.org/abs/2609.19628,VGGT-GS SLAM: Uncalibrated Monocular Gaussian Splatting SLAM with Feed-Forward Priors,2026-09-17 00:00:00+00:00,7.82,5.8283,268,777,-509,8.0,7.5,8.0,8.0,7.5,6.5,7.5,7.0,6.0,6.5,8.0,4.5,0.7116666666666667,National University of Singapore,False,none
197735,2609.20548,https://arxiv.org/abs/2609.20548,Mitigating Retaliatory Algorithmic Collusion in Repeated Games,2026-09-17 00:00:00+00:00,7.84,5.8432,260,769,-509,8.0,8.0,7.5,8.0,7.5,7.5,7.5,7.5,4.5,5.5,8.0,6.0,0.6616666666666666,,False,none
3120,2608.23691,https://arxiv.org/abs/2608.23691,Autonomous Mathematical Discovery in an Open-World Multi-Agent Environment,2026-09-14 00:00:00+00:00,8.62,6.2715,8,514,-506,9.0,9.0,7.5,8.5,9.0,8.0,9.0,8.0,3.0,4.5,8.5,7.5,0.6466666666666667,University of California San Diego; University of Cambridge; University of Hong Kong,True,none
196986,2509.25248,https://arxiv.org/abs/2509.25248,BuildBench: Benchmarking LLM Agents on Compiling Real-World Open-Source Software,2026-09-16 00:00:00+00:00,7.66,5.3808,402,906,-504,7.5,7.0,8.5,8.0,7.5,5.5,7.5,6.5,7.0,7.0,7.5,2.0,0.6866666666666666,Arizona State University,False,none
197176,2609.19391,https://arxiv.org/abs/2609.19391,MAGS: Multi-agent Auto-formalization Guarantees Safety for Agentic Outputs,2026-09-16 00:00:00+00:00,8.06,6.0681,139,643,-504,8.5,7.5,7.5,8.5,8.5,7.0,7.5,6.5,5.5,7.0,7.5,6.5,0.7316666666666667,Princeton University; University of Wisconsin–Madison,False,none
197681,2609.20412,https://arxiv.org/abs/2609.20412,Stress-testing Alignment Midtraining,2026-09-17 00:00:00+00:00,7.7,5.4953,372,876,-504,8.5,7.0,7.0,8.0,8.0,8.0,7.0,4.5,5.0,7.5,7.5,6.5,0.645,"Arcadia, Inc. (Japan)",False,none
196879,2609.19242,https://arxiv.org/abs/2609.19242,Block Parallelism For Efficient Distributed Long-Context Diffusion Language Model Training,2026-09-16 00:00:00+00:00,7.42,7.1708,589,91,498,7.5,7.0,8.0,7.5,7.0,8.0,8.0,7.5,8.0,8.0,8.0,7.0,0.7866666666666666,Stanford University,False,none
198672,2609.22038,https://arxiv.org/abs/2609.22038,QuranicMMLU: A Cognitively-Aware Benchmark for Evaluating Generative AI Solutions on Quranic Linguistic Knowledge,2026-09-18 00:00:00+00:00,7.1,6.6248,811,315,496,6.5,7.5,7.0,7.0,8.0,7.0,7.5,7.5,6.5,7.0,8.0,7.0,0.7666666666666666,Hamad bin Khalifa University; University of Birmingham,False,none
197471,2609.19969,https://arxiv.org/abs/2609.19969,DeepSeek-V4.1-Flash: Pushing the Limits of KV Cache Compression,2026-09-17 00:00:00+00:00,8.06,6.076,142,637,-495,8.5,7.5,8.5,8.0,7.5,6.0,8.0,7.0,8.0,8.5,8.0,2.5,0.66,,False,none
155,2607.19020,https://arxiv.org/abs/2607.19020,Freezing the Physiological Encoder: Explanation Stability Under Bounded Updates of an ICU Model,2026-09-13 00:00:00+00:00,7.06,6.6045,826,333,493,7.0,6.5,7.5,7.5,7.0,7.5,7.0,6.0,7.5,8.0,8.0,7.5,0.8200000000000001,University of Dhaka,True,none
197864,2602.16313,https://arxiv.org/abs/2602.16313,MemoryArena: Benchmarking Agent Memory in Interdependent Multi-Session Agentic Tasks,2026-09-17 00:00:00+00:00,7.74,5.6672,344,829,-485,7.5,7.5,8.0,8.0,8.0,7.0,7.0,7.0,6.5,7.5,7.5,3.5,0.72,Ai Corporation (United Kingdom); Princeton University; Stanford University; University of California San Diego; University of Illinois Urbana-Champaign; University of Pittsburgh,False,none
197135,2609.18455,https://arxiv.org/abs/2609.18455,ForwardDLO: Model-Based Bimanual Shape Matching of Unconstrained Deformable Linear Objects,2026-09-17 00:00:00+00:00,7.32,6.919,668,185,483,7.5,7.0,7.5,7.5,7.0,7.5,8.0,7.0,7.0,7.5,8.0,7.5,0.755,"Hessian Center for Artificial Intelligence; Honda Research Institute, USA; Technische Universität Darmstadt",False,none
199957,2609.23697,https://arxiv.org/abs/2609.23697,Distill What You Trust: Reliability-Aware Multi-Teacher On-Policy Distillation,2026-09-20 00:00:00+00:00,6.78,6.4082,921,439,482,6.5,6.5,7.5,7.0,6.5,6.5,7.5,7.0,6.5,7.0,8.0,6.5,0.755,Chinese Academy of Sciences; Institute of Automation; Korea University of Science and Technology,False,none
196991,2510.09011,https://arxiv.org/abs/2510.09011,TripScore: Aligning LLMs for Real-World Travel Planning via Expert-Calibrated Reward,2026-09-17 00:00:00+00:00,7.26,6.802,722,241,481,7.0,6.5,8.5,7.5,7.0,7.5,7.5,6.5,8.5,8.0,8.0,6.5,0.8133333333333334,Chongqing University; Stanford University,False,none
197488,2609.20001,https://arxiv.org/abs/2609.20001,E-AVI: Evidence-Grounded Multimodal Assessment for Automated Video Interviews,2026-09-17 00:00:00+00:00,6.68,6.37,942,461,481,6.5,6.5,7.0,7.0,6.5,6.0,7.0,6.0,7.5,7.5,7.5,7.0,0.7933333333333333,,False,none
200727,2609.24929,https://arxiv.org/abs/2609.24929,Conformalized Quantile Regression and Minimax Limits of Fixed-Score Calibration under Known Covariate Shift,2026-09-21 00:00:00+00:00,7.72,5.6144,368,848,-480,8.5,7.5,6.5,8.0,8.0,7.0,8.0,6.5,4.5,4.5,8.0,6.0,0.6033333333333334,,False,none
199659,2609.23074,https://arxiv.org/abs/2609.23074,Event Signature Transfer: Model-Agnostic Forecast Scenario Construction from Historical Events,2026-09-19 00:00:00+00:00,6.86,6.4261,895,422,473,6.5,7.0,7.0,7.0,7.0,5.5,7.5,7.0,6.5,7.5,7.5,6.5,0.7216666666666667,,False,none
