row_no,paper_id,arxiv_id,arxiv_url,title,abstract,published_at,organisations,sample_stratum,h_ai_relevance,h_technical_significance,h_apparent_novelty,h_practical_applicability,h_professional_value,h_learning_value,h_evidence_strength,h_tech_relevance,h_product_relevance,h_final_score,h_domain,h_application_domain,h_newsletter_verdict,h_reject_reason,h_notes
37,197732,2609.20540,https://arxiv.org/abs/2609.20540,Integrated Guidance and Control of a Mother-Child UAV-UGV System for Cooperative Missions,"Autonomous recovery of a small multirotor onto a hovering multirotor carrier differs from recovery onto ground or shipborne platforms because the recovery surface is itself an actively controlled, thrust-limited aerial vehicle. This paper presents a field-validated autonomy framework for a heterogeneous rover-mothership-child system executing rover supervision, mothership transit, child deployment and sortie, autonomous return, aerial recovery, and synchronized descent. The recovery stack combines jerk-bounded reference generation, disturbance-observer-augmented planar tracking, feasibility-aware vertical control, a discrete-time barrier-based safety filter for relative vertical geometry, and communication-aware carrier-state prediction. The contribution is the coordinated system-level integration of these methods for recovery onto a hovering multirotor and its full-scale outdoor validation. The framework is implemented on a PX4-ROS 2 architecture using RTK-enabled GNSS, IMU, and barometric fusion, with mothership-side 1D lidar used only as an auxiliary near-contact cue. RTK-fixed positioning was maintained throughout testing. Across 20 outdoor cooperative missions, 17 successfully completed deployment, sortie, and recovery, giving an observed mission success rate of 85%. For successful recoveries, mean terminal-alignment time was 6.3 s, mean planar alignment error at acceptance was 0.18 m, maximum terminal planar deviation was 0.32 m within a 0.40 m capture radius, and minimum logged relative vertical separation during coupled descent was 0.41 m. Mothership planar station-keeping RMS error was 0.25 m. The three unsuccessful trials occurred at different mission stages and are analyzed separately. Results demonstrate practical autonomous aerial recovery within the tested outdoor operating envelope.",2026-09-17 00:00:00+00:00,,max_disagreement,6,7,6.5,6,6,6.5,8,6,3.5,6,robotics_embodied,autonomous_systems,maybe,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Reported evidence: The framework is implemented on a PX4-ROS 2 architecture using RTK-enabled GNSS, IMU, and barometric fusion…"
38,197772,2609.20641,https://arxiv.org/abs/2609.20641,Beyond PINNs: A Unified Gauss--Newton and Petrov--Galerkin Framework for Neural and Hybrid PDE Solvers,"Physics-informed neural networks and finite element methods provide two different paradigms for the numerical approximation of partial differential equations: the former are commonly trained by minimizing pointwise strong residuals, whereas the latter are naturally built from weak variational formulations and the finite-dimensional systems obtained after discretization. In this work, we introduce a common framework based on the discretization of functional Gauss--Newton problems by finite families of linear measurements. We show that, through an appropriate duality pairing, the linear measurements can be represented by test functions. The resulting Gauss--Newton system is then precisely a Petrov--Galerkin discretization of the linearized functional problem. This perspective recovers pointwise collocation and natural-gradient constructions as particular cases, while making the choice of test functions an explicit algorithmic design choice. We specialize this framework to elliptic problems, where it naturally leads to weak residual formulations and to a hybrid finite element--neural construction acting on complementary approximation spaces. Numerical experiments support the proposed framework and demonstrate the effectiveness of weak Gauss--Newton formulations and hybrid finite element--neural approximations.",2026-09-17 00:00:00+00:00,Karlsruhe Institute of Technology,max_disagreement,7,7.5,8,3,4.5,6.5,7,5.5,2,5,theory_foundations,scientific_research,reject,Primarily theoretical; limited near-term TECH/PRODUCT action.,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Low near-term newsletter actionability for target readers. Claims and comparisons require full-text verification.
39,197797,2609.20713,https://arxiv.org/abs/2609.20713,A Unified Framework for Wasserstein Convergence of ULMC Methods beyond Log-Concavity: Old and New,"As a fundamental task across computational statistics, scientific computing and machine learning, sampling from high-dimensional probability distributions has received increasing attention in recent years. Numerous sampling algorithms have been proposed, among which underdamped Langevin Monte Carlo (ULMC) methods based on underdamped Langevin dynamics (ULD) have emerged as a class of efficient ones. In this work, we introduce a ``universal"" predictor-corrector formulation that bridges Euler-type, UBU-type and randomized schemes through different choices of method parameters. Notably, the ``universal"" integrator induces two novel classes of low-cost integrators, termed low-cost randomized integrators (LC-RIs) and low-cost UBU integrators (LC-UBUIs), as well as their exponential-free variants based on polynomial and rational approximations. The resulting new UBU-type and randomized schemes require only one gradient evaluation and two Gaussians per iteration, considerably reducing the number of gradient evaluations or Gaussians per iteration required by existing counterparts. Further, a general framework of long-time error analysis is developed for general discretization schemes in a probability metric. Under certain smoothness and non-log-concavity conditions, we rely on the unified framework to establish non-asymptotic $\mathcal{W}_1$-error bounds of both old and new schemes, revealing convergence rates of order $\mathcal{O}(d^{\frac{1}{2}}h)$ for Euler-type schemes, order $\mathcal{O}(d h^2)$ for UBU-type ones and order $\mathcal{O}(d^{\frac{1}{2}}h^{\frac{3}{2}})$ for randomized ones. In the strongly convex setting, the same non-asymptotic error bounds can be recovered in $\mathcal{W}_2$-distance. Numerical experiments corroborate the theoretical findings.",2026-09-17 00:00:00+00:00,Central South University,max_disagreement,7,8,7.5,2.5,4,6.5,8,5,2,4.5,theory_foundations,scientific_research,reject,Primarily theoretical; limited near-term TECH/PRODUCT action.,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Low near-term newsletter actionability for target readers. Reported evidence: Under certain smoothness and non-log-concavity conditions, we rely on the unified framework to establish non…"
40,197861,2601.21583,https://arxiv.org/abs/2601.21583,CORDS: Continuous Representations of Discrete Structures,"Many learning problems require predicting sets of objects when the number of objects is not known beforehand. Examples include object detection, molecular modeling, and scientific inference tasks such as astrophysical source detection. Existing methods often rely on padded representations or must explicitly infer the set size, which often poses challenges. We present a novel strategy for addressing this challenge by casting prediction of variable-sized sets as a continuous inference problem. Our approach, CORDS (Continuous Representations of Discrete Structures), provides an invertible mapping that transforms a set of spatial objects into continuous fields: a density field that encodes object locations and count, and a feature field that carries their attributes over the same support. Because the mapping is invertible, models operate entirely in field space while remaining exactly decodable to discrete sets. We evaluate CORDS across molecular generation and regression, object detection, simulation-based inference, and a mathematical task involving recovery of local maxima, demonstrating robust handling of unknown set sizes with competitive accuracy.",2026-09-17 00:00:00+00:00,Tübingen AI Center; University of Amsterdam,max_disagreement,8,7,7.5,5,5,6,8,6.5,3.5,6,generative_models,general_method,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Claims and comparisons require full-text verification.
41,198004,2609.21088,https://arxiv.org/abs/2609.21088,Origin Is All You Need: Provenance-Aware Transformers for Structural Trust-Boundary Separation,"Indirect prompt injection (IPI) remains a central safety and security challenge for large language model (LLM) systems because standard transformers lack architectural notion of source authority. Retrieved documents, user inputs, and system instructions are all processed through the same undifferentiated attention mechanism, forcing the model to infer from wording alone what should be obeyed and what should be treated as data. We propose Provenance-Aware Transformers, a provenance-aware defense that makes application-supplied source labels actionable inside the model. Each input token is assigned a ring ID encoding its origin, and the model is augmented with origin embeddings, a learnable origin attention bias, and a learnable origin scale that preserves provenance under normalization. The resulting architecture enforces a structural boundary between authoritative and non-authoritative sources during generation. To instantiate this architecture on released pretrained models, we propose a two-stage fine-tuning pipeline to teach the model origin semantics and task behavior under ring constraints. Evaluation shows that Provenance-Aware Transformers maintain robust resistance to IPI both in-distribution and out-of-distribution while preserving utility comparable to the base pretrained model. More broadly, our work shows that exposing provenance as a first-class architectural signal can shift LLM safety alignment from brittle pattern matching toward explicit trust separation.",2026-09-17 00:00:00+00:00,Texas A&M University,max_disagreement,8.5,8.5,8.5,7.5,8.5,8.5,7.5,9.5,8,9,alignment_safety,cybersecurity,winner_material,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Claims and comparisons require full-text verification.
42,198051,2505.04193,https://arxiv.org/abs/2505.04193,Trajectory Entropy Reinforcement Learning for Robust Robot Motor Skill Learning,"Simplicity is a critical inductive bias for designing data-driven controllers, especially when robustness is important. Despite the impressive results of deep reinforcement learning in complex control tasks, it is prone to capturing intricate and spurious correlations between observations and actions, leading to failure under slight perturbations to the environment. To tackle this problem, in this work we introduce a novel inductive bias towards simple policies in reinforcement learning. The simplicity inductive bias is introduced by minimizing the entropy of entire action trajectories, corresponding to the number of bits required to describe information in action trajectories after the agent observes state trajectories. Our reinforcement learning agent, Trajectory Entropy Reinforcement Learning, is optimized to minimize the trajectory entropy while maximizing rewards. We show that the trajectory entropy can be effectively estimated by learning a variational parameterized action prediction model, and use the prediction model to construct an information-regularized reward function. Furthermore, we construct a practical algorithm that enables the joint optimization of models, including the policy and the prediction model. Experimental evaluations on several high-dimensional locomotion tasks show that our learned policies produce more cyclical and consistent action trajectories, and achieve superior performance, and robustness to noise and dynamic changes than the state-of-the-art.",2026-09-18 00:00:00+00:00,Beijing University of Posts and Telecommunications; Tsinghua University; Wuhan University of Technology,max_disagreement,8,7,6.5,6,6,7,7.5,6,3,6,reinforcement_learning,manufacturing,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Claims and comparisons require full-text verification.
43,198364,2609.21377,https://arxiv.org/abs/2609.21377,AVT-Fabric: Active Visuo-Tactile Perception via Adaptive Evidence Selection for Efficient Robotic Fabric Comparison,"Robotic fabric comparison needs to actively combine visual appearance and tactile cues. Here, we present AVT-Fabric, an RGB-first framework that allocates tactile evidence according to the difficulty of each comparison. A dual-scale gate evaluates answer-token confidence and raw logit separation to determine whether another force-tagged GelSight observation is needed. Compact textual memory preserves the executed history, and majority voting consolidates the selected predictions. On 400 held-out comparisons, AVT-Fabric achieves 98.0% accuracy with a compact 7B Multimodal Large Language Model (MLLM), surpassing the 94.0% reported by the 90B MLLM-Fabric baseline by 4.0 percentage points while processing only 1.60 of five available stages on average. It improves on matched passive inference by 9.25 percentage points and reduces model-side latency by 61.8%, while also improving on RGB-only accuracy. Four additional MLLM backbones support the generalizability, accuracy, and efficiency of the framework. This framework is also deployed on a real robotic system, achieving 78.1% pairwise ranking accuracy and correct fabric selection in seven of eight application scenarios. AVT-Fabric demonstrates that adaptive evidence selection can improve both the accuracy and efficiency of robotic visuo-tactile reasoning.",2026-09-18 00:00:00+00:00,Bansomdejchaopraya Rajabhat University; University of York,max_disagreement,6.5,6.5,6.5,5,5.5,6.5,7,5.5,3,5.5,robotics_embodied,manufacturing,reject,Specialized setting; limited transfer to general TECH/PRODUCT readers.,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Low near-term newsletter actionability for target readers. Claims and comparisons require full-text verification.
44,198393,2609.21432,https://arxiv.org/abs/2609.21432,GVPO++: Group Variance Policy Optimization for LLM Post-Training and On-Policy Distillation,"Post-training plays a pivotal role in enhancing the reasoning capabilities and task-specific expertise of large language models (LLMs). Despite recent advances in post-training methods, such as Group Relative Policy Optimization (GRPO), their practical deployment remains impeded by training instability arising from the reliance on importance sampling. We introduce Group Variance Policy Optimization (GVPO), a novel post-training method that integrates the analytical solution of KL-constrained reward maximization into its gradient weighting scheme. This formulation provides an intuitive interpretation: GVPO's gradient corresponds to the mean squared error between the central distance of implicit rewards and that of actual rewards. GVPO offers two key advantages: (1) it guarantees a unique optimal solution, exactly to the KL-constrained reward maximization objective, and (2) it enables flexible sampling distributions without requiring importance sampling. Beyond general post-training, we show that GVPO naturally extends to on-policy distillation (OPD). Furthermore, GVPO enables the optimization of a broad family of extended OPD objectives, providing a principled foundation for diverse objective design. By unifying theoretical guarantees with practical adaptability, GVPO establishes a new paradigm for reliable and versatile LLM post-training and on-policy distillation.",2026-09-18 00:00:00+00:00,,max_disagreement,8,8,7.5,5.5,6.5,7.5,7.5,8,3.5,7,reinforcement_learning,general_method,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Claims and comparisons require full-text verification.
45,198597,2609.21858,https://arxiv.org/abs/2609.21858,Watermarkable Multi-Draft Speculative Sampling via Poisson Processes,"Large language models (LLMs) have achieved state-of-the-art performance across a wide range of tasks, motivating two important aspects of deployment: inference efficiency and output provenance, which can be tackled by speculative sampling and watermarking, respectively. However, recent works have shown that combining these two goals is highly nontrivial and can be potentially impossible. In this work, we develop a novel multi-draft speculative sampling algorithm based on Poisson processes that improves the frontier of this fundamental trade-off. The proposed algorithm has strong sampling efficiency on its own and, more interestingly, is naturally watermarkable: we can embed an unbiased watermark without degrading speculative acceptance. Moreover, our algorithm is based on an exact list-coupling-without-communication scheme, which yields a drafter invariance property that benefits both sampling and watermarking. It is the first multi-draft, drafter-invariant speculative sampling scheme that maintains both watermark strength and sampling efficiency, and we experimentally verify its strong performance in both aspects.",2026-09-18 00:00:00+00:00,University of Washington,max_disagreement,8.5,7,8,7.5,7.5,7.5,7,9,7.5,8,generative_models,cybersecurity,shortlist,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Claims and comparisons require full-text verification.
46,198650,2609.21967,https://arxiv.org/abs/2609.21967,NemotronLabs VoiceChat: An Open Full-duplex Speech-to-Speech Model with Tool Calling Capabilities,"We introduce NemotronLabs VoiceChat, an open full-duplex speech-to-speech model with native tool-calling capabilities. NemotronLabs VoiceChat combines a streaming speech encoder and decoder-only language model with parallel specialized output streams for agent text and structured function calls, an auxiliary RNN-T branch for incremental user transcription, and a streaming TTS decoder. This design enables the model to listen, transcribe, reason, invoke tools, and speak within a unified streaming architecture while preserving the temporal behavior required for natural conversation. On Full-Duplex-Bench 1.0, NemotronLabs VoiceChat achieves the lowest pause-handling takeover rates among evaluated open-weight systems, 100\% takeover following user interruptions, and a 4.33/5 post-interruption response-quality score. On Full-Duplex-Bench 1.5, it resumes its response after user backchannels in 93\% of cases. NemotronLabs VoiceChat obtains a 55.1 normalized average on VoiceBench and, on Full-Duplex-Bench 3.0 (FDB 3.0), achieves 82.5\% tool-selection F1, while argument accuracy and end-to-end tool execution remain areas for improvement. These results demonstrate that full-duplex interaction, speech recognition and generation, general language capabilities, and external tool use can be integrated in a single open speech-to-speech model without sacrificing real-time conversational behavior.",2026-09-18 00:00:00+00:00,,max_disagreement,9,8.5,7.5,9,9,8,8,9.5,9,9,speech_audio,enterprise_workforce,winner_material,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: On Full-Duplex-Bench 1.0, NemotronLabs VoiceChat achieves the lowest pause-handling takeover rates among eva…"
47,198672,2609.22038,https://arxiv.org/abs/2609.22038,QuranicMMLU: A Cognitively-Aware Benchmark for Evaluating Generative AI Solutions on Quranic Linguistic Knowledge,"We introduce QuranicMMLU, a benchmark for evaluating generative AI on Quranic Arabic across multiple dimensions of linguistic complexity. Existing Quranic benchmarks center on general question answering and semantic retrieval, without probing specific linguistic competencies or stratifying by cognitive demand and verse difficulty. We construct a five-pillar Quranic taxonomy spanning Phonology, Morphology, Syntax, Semantics, and Pragmatics, with 31 leaves covering phenomena from tajwÄ«d and root-and-pattern morphology to occasions of revelation and inter-surah coherence. For each leaf we generate questions stratified by Bloom's cognitive level and verse perplexity, then have LLM as a judge to independently answer and score every item and route the annotations to manual review. The resulting dataset comprises 980 human-reviewed questions, each issued in both open-ended and multiple-choice form. We benchmark 12 systems on these items and find that the Islamic-specialized model leads, yet every system scores higher on multiple-choice accuracy (average 84%) than open-ended answer quality (average 60%): the two rankings agree closely (Kendall's Ï=0.73), but multiple-choice scoring hides failures that surface only once answer choices are removed. QuranicMMLU thus offers a rigorous, linguistically grounded framework for evaluating Arabic NLP in the Quranic domain.",2026-09-18 00:00:00+00:00,Hamad bin Khalifa University; University of Birmingham,max_disagreement,7,6.5,7,5.5,5.5,6.5,7.5,5.5,4.5,5.5,evaluation_benchmarking,education,reject,Limited near-term engineering or product decision value.,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Low near-term newsletter actionability for target readers. Claims and comparisons require full-text verification.
48,198761,2604.15555,https://arxiv.org/abs/2604.15555,CXR-LT 2026 Challenge: Multi-Center Long-Tailed and Zero Shot Chest X-ray Classification,"Chest X-ray (CXR) interpretation is hindered by the long-tailed distribution of pathologies and the open-world nature of clinical environments. Existing benchmarks often rely on closed-set classes from a single institution, failing to capture the prevalence of rare diseases or the appearance of novel findings. To address this, we present the CXR-LT challenge. The first event, CXR-LT 2023, established a large-scale benchmark for long-tailed multi-label CXR classification and identified key challenges in rare disease recognition. CXR-LT 2024 further expanded the label space and introduced a zero-shot task to study generalization to unseen findings. Building on the success of CXR-LT 2023 and 2024, this third iteration of the benchmark introduces a multi-center dataset comprising over 145,000 images from PadChest and NIH Chest X-ray datasets. Additionally, all development and test sets in CXR-LT 2026 are annotated by radiologists, providing a more reliable and clinically grounded evaluation than report-derived labels. The challenge defines two core tasks this year: (1) Robust Multi-Label Classification on 30 known classes and (2) Open-World Generalization to 6 unseen (out-of-distribution) rare disease classes. This paper summarizes the overview of the CXR-LT 2026 challenge. We describe the data collection and annotation procedures, analyze solution strategies adopted by participating teams, and evaluate head-versus-tail performance, calibration, and cross-center generalization gaps. Our results show that vision-language foundation models improve both in-distribution and zero-shot performance, but detecting rare findings under multi-center shift remains challenging. Our study provides a foundation for developing and evaluating AI systems in realistic long-tailed and open-world clinical conditions.",2026-09-19 00:00:00+00:00,Carnegie Mellon University; Case Western Reserve University; Chinese Academy of Medical Sciences & Peking Union Medical College; Cornell Tech; Cornell University; Gwangju Institute of Science and Technology; Hong Kong University of Science and Technology; Korea Advanced Institute of Science and Technology; Sichuan University; VinUniversity; Weill Cornell Medicine; Xiamen University,max_disagreement,8,7.5,6.5,7.5,7.5,7.5,8.5,7,8,7.5,computer_vision,healthcare_life_sciences,maybe,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Reported evidence: The first event, CXR-LT 2023, established a large-scale benchmark for long-tailed multi-label CXR classifica…"
49,199150,2609.22724,https://arxiv.org/abs/2609.22724,MATE: Policy-Aware Security Auditing for Mobile Agents via Synthesis-Driven Trajectory Learning,"Mobile agents powered by foundation models now automate complex, multi-step workflows on real devices, but their trajectories can violate app-specific security policies. Existing trajectory-level defenses rely on LLM prompting or rigid rules, and thus fail to support fine-grained, natural-language policies that generalize across apps and tasks. In this work, we introduce MATE, a lightweight, policy-conditioned auditor that encodes both agent trajectories and natural-language security policies to determine whether a trajectory violates a given policy and to explain why. Treating policies as editable text rather than fixed model parameters allows MATE to handle user-defined and evolving requirements without retraining. To construct MATE, we build a knowledge base by extracting app descriptions, workflows, and policies from hundreds of popular mobile apps worldwide, and synthesizing over 140K semantically realistic, policy-conditioned trajectories with a multi-stage pipeline. We further release MATEBench, a trajectory-level auditing benchmark with two synthetic subsets and one real-world subset of manually collected trajectories. Models trained with our synthesis-driven trajectory learning achieve over 95% accuracy on MATEBench, retain strong performance on external safety benchmarks, and audit trajectories from Zhipu's AutoGLM and Alibaba's Mobile-Agent on real devices with over 95% accuracy, outperforming prior methods by over 20%. MATE shows that practical, fine-grained security auditing for heterogeneous mobile agents is both feasible and effective.",2026-09-19 00:00:00+00:00,Fudan University,max_disagreement,8.5,8,7.5,8.5,8.5,8,8,9,8.5,9,alignment_safety,cybersecurity,winner_material,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: Models trained with our synthesis-driven trajectory learning achieve over 95% accuracy on MATEBench, retain…"
50,199159,2609.22747,https://arxiv.org/abs/2609.22747,Beyond Raw Engagement: A Counterfactual Observability Framework for Recommender Systems at Netflix,"Understanding the performance of large-scale recommender systems remains an underexplored challenge, especially for content creators and model developers. The raw engagement signals available to them, such as views and clicks, conflate content quality, model behavior, presentation bias, and audience reach, making it hard to attribute outcomes to the right cause. In this work, we present a general evaluation framework that enhances observability across multiple recommender systems at Netflix and demonstrate its effectiveness through several production deployments. The framework treats recommender-system observability as a counterfactual measurement problem: estimating what the recommender would have done, and what engagement would have followed, in the absence of a specific content item or model decision. We articulate three stakeholder-centered observability principles for content creators and model developers, and propose measurement methodologies covering bias reduction, relativity, and incrementality, applicable to both single-stage and cascading recommender systems and serving both audiences from a single measurement foundation.",2026-09-19 00:00:00+00:00,,max_disagreement,7,8,8,9,9,9,8.5,8,10,9.5,evaluation_benchmarking,enterprise_workforce,winner_material,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: In this work, we present a general evaluation framework that enhances observability across multiple recommen…"
51,199316,2602.01654,https://arxiv.org/abs/2602.01654,Steering Vector Fields for Context-Aware Inference-Time Control in Large Language Models,"Steering vectors (SVs) offer a lightweight way to control large language models (LLMs) at inference time by shifting hidden activations, providing a practical middle ground between prompting and fine-tuning. Yet SVs can be unreliable in practice. Some concepts are unsteerable, and even when steering helps on average it can backfire for a non-trivial fraction of inputs. Reliability also degrades in long-form generation and multi-attribute steering. We take a geometric view of these failures. A static SV applies the same update vector everywhere in representation space, implicitly assuming that the concept-improving direction is constant across contexts. When the locally effective direction varies with the current activation, a single global vector can become misaligned, which yields weak or reversed effects. Guided by this perspective, we propose Steering Vector Fields (SVF), which learns a differentiable concept scoring function whose local gradient defines the steering direction at each activation, making interventions explicitly context-dependent. This formulation supports coordinated multi-layer interventions in a shared, aligned concept space, and enables efficient long-form and multi-attribute control within a unified framework. Across multiple LLMs and steering tasks, SVF delivers stronger and more reliable control, improving the practicality of inference-time steering.",2026-09-19 00:00:00+00:00,Brown University; Texas A&M University,max_disagreement,8,7,7,7,7.5,7,7.5,8,6.5,7,interpretability,general_method,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Claims and comparisons require full-text verification.
52,199392,2605.11269,https://arxiv.org/abs/2605.11269,gwBenchmarks: Stress-Testing LLM Agents on High-Precision Gravitational Wave Astronomy,"Modern gravitational wave astronomy relies on modeling tasks that often require months of graduate-level effort, including building fast waveform surrogates from expensive numerical relativity simulations, modeling orbital dynamics of black holes, fitting merger remnant properties and constructing template banks. These problems demand extreme precision to support detection and parameter inference, with state-of-the-art models achieving $\lesssim 10^{-4}$ relative error. We study whether state-of-the-art LLM coding agents can perform such end-to-end scientific modeling, where success requires constructing models with stringent accuracy criteria and reasoning about physical systems. We introduce gwBenchmarks, a suite of eight tasks grounded in gravitational wave analytic calculations and numerical simulations collectively representing over $10^8$ core-hours of compute. The tasks span interpolation, regression, and high-dimensional time-series modeling, requiring a combination of numerical methods, machine learning, and physics-informed approaches. In preliminary experiments, agents frequently relied on proxy metrics, partial evaluation, or fabricated results to spuriously complete tasks. We therefore implement an external pre-defined framework to gauge agent progress. Evaluating twelve coding agents, we find no consistent winner. On the easiest task, multiple agents converge to the same cubic spline solution, with one rediscovering a coordinate transformation widely used in the literature. On harder tasks like analytic waveform modeling, all agents fall 1-2 orders of magnitude short of domain requirements and exhibit systematic failures, including metric misuse, constraint violations, and result fabrication. Our code, data, and website are publicly available.",2026-09-20 00:00:00+00:00,"Johns Hopkins University; Kavli Institute for Theoretical Physics; Princeton University; University of California, Santa Barbara",max_disagreement,8.5,7.5,7.5,4,5,7.5,8,6,3,5.5,evaluation_benchmarking,scientific_research,reject,Specialized setting; limited transfer to general TECH/PRODUCT readers.,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Low near-term newsletter actionability for target readers. Reported evidence: These problems demand extreme precision to support detection and parameter inference, with state-of-the-art…"
53,199449,2609.18148,https://arxiv.org/abs/2609.18148,LIGE-GR: A Smooth Leap from Ranking to Generative Recommendation in the LLM Era,"The remarkable success of large language models (LLMs) has provided important inspiration for the next generation of recommender systems. Structurally, recommendation and language generation share a similarity: both aim to produce an ordered sequence that optimizes the user's experience. However, how to precisely absorb the essence of the LLM paradigm into mature industrial recommender systems remains an open problem. There are two challenges. First, it is unclear how to incorporate the LLM paradigm -- sequence-level generation and optimization -- into recommendation. Second, real-world recommender systems are mature systems that have been iteratively customized for years around specific products, business constraints, serving infrastructure, and organizational ownership. Replacing such systems wholesale is often technically risky and organizationally disruptive. In this paper, we propose LIGE-GR, a listwise generation and evaluation recommendation framework that upgrades from a traditional ranking system (itemwise recommendation) toward a generative recommendation paradigm. Instead of rebuilding the entire recommendation stack from scratch, LIGE-GR generalizes the existing pointwise recommendation system into a listwise generation system. This allows mature recommender systems to benefit from listwise optimization while preserving compatibility with existing models, value functions, and serving infrastructure. We validate LIGE-GR in short-video recommendation on Instagram Reels and Facebook Video. On these recommendation surfaces, LIGE-GR improves time spent by 1.14 percent on Instagram Reels and 0.72 percent on Facebook Video, while requiring only modest additional inference resources.",2026-09-20 00:00:00+00:00,,max_disagreement,7,8,7.5,8,8.5,8,9,9,9,9,generative_models,enterprise_workforce,winner_material,,"AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: On these recommendation surfaces, LIGE-GR improves time spent by 1.14 percent on Instagram Reels and 0.72 pe…"
54,199461,2609.19499,https://arxiv.org/abs/2609.19499,Sample Count Is Not Enough: Candidate-Generation Strategy Shapes the Energy and Performance of LLM Test-Time Scaling,"Test-time scaling can improve large language model reasoning by generating and combining multiple candidate responses. In sampling-based methods, the inference budget is often described by the number of generated candidates, N. However, N tells us how many candidates are generated, not how they are executed. The same candidate budget can be produced in one batched generation call or split across several sequential calls with smaller batch sizes. We first study the effect of increasing N on reasoning accuracy using Phi-3-mini and Qwen2.5-1.5B on 500 GSM8K prompts. As expected, increasing N from 1 to 8 improves accuracy by 8.4 percentage points for Phi-3-mini and 18.4 points for Qwen2.5-1.5B. However, accuracy alone does not show the systems cost of using a larger candidate budget. We therefore fix N = 8 and compare four generation schedules: 1x8, 2x4, 4x2, and 8x1, where axb denotes a generation calls with b candidates per call. We measure latency, throughput, GPU-hours, and gross GPU-device energy while keeping the total candidate count fixed. On A100 GPUs, eight serial calls use 4.64-4.86x as much gross GPU-device energy and have 5.77-6.12x the P95 latency of one batched call with eight candidates. The same pattern appears across three independently scheduled A100 nodes per model and in short-output SciQ/V100 experiments. These results show that candidate count alone is not enough to describe the systems cost of multi-candidate test-time scaling. When candidates are independent and memory allows it, fewer generation calls with larger batch sizes are more efficient. Evaluations should therefore report not only candidate count and accuracy, but also generation schedule and GPU-level systems metrics.",2026-09-19 00:00:00+00:00,Iowa State University,max_disagreement,7,8.5,7.5,9,9,8.5,8.5,10,6,9,efficient_inference,general_method,winner_material,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Directly actionable for engineering/product readers. Reported evidence: We first study the effect of increasing N on reasoning accuracy using Phi-3-mini and Qwen2.5-1.5B on 500 GSM…
55,199638,2609.23037,https://arxiv.org/abs/2609.23037,Fast and Robust Temporal Logic Planning via ADMM-based Trajectory Optimization,"We present a fast numerical method for safe continuous-time motion planning under Temporal Logic (TL) specifications. The method generates smooth continuous trajectories that remain collision-free while robustly satisfying temporal and logical task requirements. A central component of our method is the formulation of nonconvex safety and logic constraints as unions of convex sets where associated discrete decisions are encoded in a joint feasibility graph. This graph representation allows Euclidean projection onto the feasible set and proximal robustness maximization to be reformulated as shortest- and widest-path problems, respectively. Building on this structure, we develop a nonconvex splitting method based on the Alternating Direction Method of Multipliers (ADMM), which decouples smooth spatio-temporal trajectory optimization from nonsmooth discrete constraint handling within the optimization. The resulting algorithm exhibits reliable convergence across benchmarks and scales to large-scale motion-planning problems, providing a 4.7x average speedup over the state of the art on discrete and continuous-time logic problems.",2026-09-19 00:00:00+00:00,KTH Royal Institute of Technology; Massachusetts Institute of Technology; Technical University of Munich; Technological University Hmawbi,max_disagreement,6,7.5,7,6.5,6,6.5,8,6.5,3,6,reinforcement_learning,autonomous_systems,maybe,,AI-DRAFT ONLY; NOT HUMAN GOLD LABEL; title/abstract only. Potentially useful but narrower immediate reader action. Reported evidence: The resulting algorithm exhibits reliable convergence across benchmarks and scales to large-scale motion-pla…
