content_item_id,arxiv_id,title,published_at,quality_score,final_score,domain,audiences,application_domains,top_organisation,hf_featured,eligible,canonical_url
120421,2605.29708,RASET: Router-Agnostic Safety-Critical Expert Tuning Exposes Localized Safety Enforcement Failures in Mixture-of-Experts LLMs,2026-08-23T00:00:00+00:00,8.2,7.8,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Huazhong University of Science and Technology,False,True,https://arxiv.org/abs/2605.29708
120829,2608.22347,Where Cognition Lives: Dissecting Emergent from Computed Function in a Minimal Complete Cognitive Architecture,2026-08-23T00:00:00+00:00,8.1,7.8,theory_foundations,"[""practitioner"", ""technical_leadership""]","[""general_method""]",University of Almería,False,True,https://arxiv.org/abs/2608.22347
120492,2607.23458,Two Regimes of Chain-of-Thought Unfaithfulness: Metric-Based Detection Fails Where Models Are Wrong,2026-08-23T00:00:00+00:00,8.0,7.8,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",University of Southern Mississippi,False,True,https://arxiv.org/abs/2607.23458
120912,2608.22646,CAI-DLLM: Convergence Aware Inference for Diffusion Language Models,2026-08-23T00:00:00+00:00,8.0,7.8,efficient_inference,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Virginia Tech,False,True,https://arxiv.org/abs/2608.22646
120218,2412.06769,Training Large Language Models to Reason in a Continuous Latent Space,2026-08-23T00:00:00+00:00,8.3,7.7,natural_language_processing,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2412.06769
3496,2604.16242,Detecting and Suppressing Reward Hacking with Gradient Fingerprints,2026-08-23T00:00:00+00:00,8.2,7.7,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",New York University,False,True,https://arxiv.org/abs/2604.16242
3488,2608.22516,TRACE: Temporal Retrieval with Anchored and Convergent Evidence for Long-Horizon Video Understanding,2026-08-23T00:00:00+00:00,8.1,7.7,computer_vision,"[""practitioner""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.22516
2184,2608.26188,Is Your Neighborhood Safe? Place-based Stigma in Large Language Models' Urban Safety Judgments,2026-08-23T00:00:00+00:00,7.9,7.7,natural_language_processing,"[""practitioner"", ""technical_leadership"", ""enterprise_adoption""]","[""general_method""]",Augustana University,False,True,https://arxiv.org/abs/2608.26188
120815,2608.22321,Semantics or Structure? Auditing Text Sensitivity in Multimodal Time-Series Forecasting,2026-08-23T00:00:00+00:00,7.9,7.7,evaluation_benchmarking,"[""practitioner"", ""technical_leadership""]","[""general_method""]","Birla Institute of Technology and Science, Pilani",False,True,https://arxiv.org/abs/2608.22321
172621,2608.22403,LD4WAM: Learning Latent Dynamics from Human Videos for World Action Models,2026-08-23T00:00:00+00:00,8.6,7.6,robotics_embodied,"[""practitioner""]","[""autonomous_systems""]",,False,True,https://arxiv.org/abs/2608.22403
120380,2604.08169,Activation Steering for Aligned Open-ended Generation without Sacrificing Coherence,2026-08-23T00:00:00+00:00,7.8,7.6,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Mila - Quebec Artificial Intelligence Institute,False,True,https://arxiv.org/abs/2604.08169
120349,2602.18422,Generated Reality: Human-centric World Simulation using Interactive Video Generation with Hand and Camera Control,2026-08-23T00:00:00+00:00,8.2,7.5,generative_models,"[""practitioner""]","[""general_method""]",,False,True,https://arxiv.org/abs/2602.18422
120477,2607.14935,VideoChat3: Fully Open Video MLLM for Efficient and Generalist Video Understanding,2026-08-23T00:00:00+00:00,8.1,7.5,computer_vision,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2607.14935
120769,2608.22188,Unveiling the Depth-Performance Dilemma in Split-Federated Fine-tuning of LLMs,2026-08-23T00:00:00+00:00,8.1,7.5,systems_infrastructure,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.22188
120869,2608.22490,Who Pays More for Safety? Measuring the Disparate Cost of Safety Alignment across Languages,2026-08-23T00:00:00+00:00,7.9,7.5,alignment_safety,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Korea University,False,True,https://arxiv.org/abs/2608.22490
120863,2608.22467,"The Variance of Thought: Policy Variance, Critical Forks, and Local Credit Assignment",2026-08-23T00:00:00+00:00,8.2,7.4,reinforcement_learning,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.22467
3550,2608.22152,The Collaboration Tax: How Much LLM Multi-Agent Systems Pay to Coordinate,2026-08-23T00:00:00+00:00,7.9,7.4,natural_language_processing,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.22152
3556,2608.22229,Grounded Normative Rule Generation with Structured Search,2026-08-23T00:00:00+00:00,7.8,7.4,natural_language_processing,"[""practitioner"", ""enterprise_adoption""]","[""legal_compliance""]",Peking University,False,True,https://arxiv.org/abs/2608.22229
120825,2608.22339,When Not to Imitate: Boundary-Aware Skill Memory for Reliable Tool-Use LLM Agents,2026-08-23T00:00:00+00:00,7.8,7.4,natural_language_processing,"[""practitioner""]","[""general_method""]",University of Chinese Academy of Sciences,False,True,https://arxiv.org/abs/2608.22339
172250,2606.01027,$Ï_0$-WM: A Unified Video-Action World Model for Robotic Manipulation,2026-08-23T00:00:00+00:00,8.4,7.3,robotics_embodied,"[""practitioner""]","[""autonomous_systems""]",,False,True,https://arxiv.org/abs/2606.01027
3234,2608.23635,ToolRobustBench: Stage-Wise Perturbation Evaluation and Failure Diagnosis for Tool-Calling Agents,2026-08-23T00:00:00+00:00,7.7,7.3,evaluation_benchmarking,"[""practitioner"", ""technical_leadership""]","[""general_method""]",,False,True,https://arxiv.org/abs/2608.23635
120867,2608.22483,Claim-Level Confidence Calibration for Reliable Decision Making with Large Language Models,2026-08-23T00:00:00+00:00,7.4,7.3,natural_language_processing,"[""practitioner"", ""enterprise_adoption""]","[""general_method""]",IEEE Standards Association,False,True,https://arxiv.org/abs/2608.22483
120260,2507.23220,"Model Directions, Not Words: Mechanistic Topic Models Using Sparse Autoencoders",2026-08-23T00:00:00+00:00,7.8,7.2,interpretability,"[""practitioner""]","[""general_method""]",,False,True,https://arxiv.org/abs/2507.23220
3739,2606.24747,Scaling Laws for Task-Specific LLM Distillation,2026-08-23T00:00:00+00:00,7.7,7.2,model_compression,"[""practitioner"", ""technical_leadership""]","[""financial_services""]",NVIDIA,False,True,https://arxiv.org/abs/2606.24747
120443,2606.11119,TRACE: A Unified Rollout Budget Allocation Framework for Efficient Agentic Reinforcement Learning,2026-08-23T00:00:00+00:00,7.7,7.2,reinforcement_learning,"[""practitioner""]","[""general_method""]",Tsinghua University,False,True,https://arxiv.org/abs/2606.11119
120761,2608.22154,More accurate behavioral predictions with hybrid Bayesian-connectionist models,2026-08-23T00:00:00+00:00,7.5,7.2,theory_foundations,"[""practitioner""]","[""general_method""]",Massachusetts Institute of Technology,False,True,https://arxiv.org/abs/2608.22154
120819,2608.22331,Noise Floor Audit for Agent Benchmarks,2026-08-23T00:00:00+00:00,7.3,7.1,evaluation_benchmarking,"[""practitioner"", ""technical_leadership""]","[""general_method""]",Carnegie Mellon University,False,True,https://arxiv.org/abs/2608.22331
3967,2602.02408,ReasonEdit: Editing Vision-Language Models using Human Reasoning,2026-08-23T00:00:00+00:00,7.5,7.0,multimodal_learning,"[""practitioner""]","[""general_method""]",University of Virginia,False,True,https://arxiv.org/abs/2602.02408
121302,2412.02520,Highway Congestion Reduction through Reinforcement Learning Based Eulerian Headway Control,2026-08-23T00:00:00+00:00,7.5,7.0,reinforcement_learning,"[""practitioner"", ""enterprise_adoption""]","[""transport_logistics""]","General Co., Ltd. (Japan)",False,True,https://arxiv.org/abs/2412.02520
120411,2605.14486,Reduce the Artifacts Bias for More Generalizable AI-Generated Image Detection,2026-08-23T00:00:00+00:00,7.2,6.9,computer_vision,"[""practitioner""]","[""general_method""]",Tsinghua University,False,True,https://arxiv.org/abs/2605.14486
120325,2601.16890,LLM-Based Adversarial Persuasion Attacks on Fact-Checking Systems,2026-08-23T00:00:00+00:00,7.3,6.7,natural_language_processing,"[""practitioner"", ""technical_leadership""]","[""content_moderation""]",University of Sheffield,False,True,https://arxiv.org/abs/2601.16890
3565,2608.22295,LLM Evaluation on Unseen Questions: Contextual Multidimensional IRT Model,2026-08-23T00:00:00+00:00,6.9,6.3,evaluation_benchmarking,"[""practitioner"", ""technical_leadership""]","[""general_method""]",University of Wisconsin–Madison,False,True,https://arxiv.org/abs/2608.22295
120830,2608.22356,Addressing the Selection Problem in Explainable AI,2026-08-23T00:00:00+00:00,6.3,5.5,interpretability,"[""practitioner""]","[""general_method""]",Carnegie Mellon University,False,True,https://arxiv.org/abs/2608.22356
